from_tmdb_id,to_tmdb_id,from_title,to_title,rationale
1151031,13312,"Bring Her Back","Inside","French horror at its most physically committed."
42164,10754,"Camera Buff","A Short Film About Killing","The film that put capital punishment on trial in Poland."
42164,127,"Camera Buff","Blind Chance","Kieslowski's structural experiment, the one Run Lola Run took everything from."
9693,2721,"Children of Men","Z","Costa-Gavras invented the political thriller shot like a documentary."
68718,13041,"Django Unchained","El Topo","The acid western, and the thing Tarantino keeps gesturing at."
38,5544,"Eternal Sunshine of the Spotless Mind","Hiroshima mon amour","Resnais again, on memory and forgetting, which is Eternal Sunshine's entire subject."
38,4024,"Eternal Sunshine of the Spotless Mind","Last Year at Marienbad","Memory as architecture. Resnais got there first and stranger."
38,631,"Eternal Sunshine of the Spotless Mind","Sunrise: A Song of Two Humans","A couple, one night, a complete emotional reset. The 1927 version of the same idea."
16306,64847,"Fantastic Planet","Belladonna of Sadness","The other 1973 animated film that looks like nothing before or since."
18919,18917,"Faust","Alice","Svankmajer's Alice, and you already love his Faust."
12477,8016,"Grave of the Fireflies","Germany Year Zero","Rossellini filming a child in the ruins, three years after the war."
12477,5801,"Grave of the Fireflies","Pather Panchali","Ray's debut. Both films watch a child's world collapse without raising their voice."
493922,309,"Hereditary","Festen","A family dinner where the truth comes out, shot like a home video."
493922,57283,"Hereditary","Haxan","A 1922 documentary about witchcraft that is still more disturbing than most horror."
493922,9539,"Hereditary","Martyrs","If you want to know how far horror can actually go, this is the standard."
493922,31767,"Hereditary","The Devils","Russell's religious horror, still hard to see and worth the effort."
79,10997,"Hero","Farewell My Concubine","Chen Kaige's epic, the other half of the Fifth Generation."
79,10404,"Hero","Raise the Red Lantern","Zhang Yimou before the wuxia, and the film that made his name."
843,15804,"In the Mood for Love","A Brighter Summer Day","Edward Yang's four-hour epic, the Taiwanese half of that era."
843,18311,"In the Mood for Love","Days of Being Wild","The first part of a loose trilogy you walked into halfway through."
16869,15383,"Inglourious Basterds","Army of Shadows","Melville's resistance film, and the sober thing Tarantino's fantasy is answering."
16869,10772,"Inglourious Basterds","Django","Tarantino named a film after this one. You have Leone; Corbucci is the nastier half."
251516,1103,"Kung Fury","Escape from New York","The completely sincere version of the thing Kung Fury adores."
30959,3763,"Kwaidan","Onibaba","Shindo's, and the other essential Japanese folk horror."
406,5156,"La Haine","Bicycle Thieves","Neorealism is where the handheld street film begins, and you have none of it."
406,925,"La Haine","Do the Right Thing","The same heat, the same day, the same ending, made in Brooklyn six years earlier."
406,17295,"La Haine","The Battle of Algiers","Kassovitz learned this camera from Pontecorvo. You have the descendant, not the source."
406,77771,"La Haine","Touki Bouki","Mambety's Dakar road film, from 1973, just as furious and just as stylish."
13310,779,"Let the Right One In","Vampyr","Dreyer's vampire film, and the reason quiet horror is possible at all."
773,900,"Little Miss Sunshine","Bringing Up Baby","Screwball is the American comedy tradition, and this is the fastest one."
153,901,"Lost in Translation","City Lights","The ending everyone reaches for when they talk about ambiguous final shots."
153,5165,"Lost in Translation","L'Avventura","Antonioni invented the modern film about two people adrift in a place."
153,30020,"Lost in Translation","Taste of Cherry","A man driving around talking to strangers. Kiarostami makes Coppola look busy."
153,25538,"Lost in Translation","Yi Yi","Three hours with a family in Taipei, and the warmest great film of its era."
334,422,"Magnolia","8½","Fellini on a man who cannot finish his film. The template for every ensemble breakdown since."
334,3121,"Magnolia","Nashville","Altman's ensemble is the form PTA rebuilt."
11423,42506,"Memories of Murder","The Housemaid","Kim Ki-young's original, which Bong cites constantly."
762,961,"Monty Python and the Holy Grail","The General","Keaton built the gags Python inherited, and did his own stunts on a moving train."
426063,653,"Nosferatu","Nosferatu","You loved the remake. The original is ninety seconds of shadow that changed everything."
655,20530,"Paris, Texas","Late Spring","More Ozu, because one is never enough with him."
655,18148,"Paris, Texas","Tokyo Story","Wenders’ stillness has a direct source and he has said so repeatedly."
975,777,"Paths of Glory","Grand Illusion","Renoir's war film, the humanist ancestor of Kubrick's."
10494,11167,"Perfect Blue","Peeping Tom","The film that got Powell blacklisted for making the camera the weapon. Kon’s ancestor."
797,10238,"Persona","Cries and Whispers","Bergman in colour, and the most brutal of them."
797,490,"Persona","The Seventh Seal","The Bergman everyone has seen except you."
2786,269,"Pierrot le Fou","Breathless","Your one Godard is a late one. This is where the whole thing starts."
2786,499,"Pierrot le Fou","Cleo from 5 to 7","Varda's real-time Paris, and the New Wave film that has aged best."
2786,147,"Pierrot le Fou","The 400 Blows","Truffaut's debut, the other half of the New Wave."
128,14696,"Princess Mononoke","Ugetsu","Mizoguchi's ghost story, where Japanese cinema set its supernatural register."
807,1480,"Se7en","Touch of Evil","Welles' noir, and the opening shot everyone still copies."
346,548,"Seven Samurai","Rashomon","You have one Kurosawa. This is the other essential one."
346,20532,"Seven Samurai","Sansho the Bailiff","Mizoguchi's answer to Kurosawa, released the same year."
1233413,95597,"Sinners","Black Girl","Sembene's first feature, and the beginning of African cinema as a cinema."
1233413,83096,"Sinners","Ganja & Hess","A Black vampire film as art film, fifty years before Sinners."
1233413,27432,"Sinners","Killer of Sheep","The LA Rebellion, and the tradition Coogler is working inside."
1398,895,"Stalker","Andrei Rublev","The Tarkovsky most people call his greatest, and you have never seen it."
1398,30017,"Stalker","Close-Up","Kiarostami filming a man who impersonated a director. The closest Iran comes to Tarkovsky’s patience."
1398,31442,"Stalker","Ivan's Childhood","Tarkovsky's first feature. You have the masterpiece; this is where the style is invented."
1398,50183,"Stalker","The Ascent","Shepitko was Tarkovsky’s contemporary and arguably his equal. This is the one to start with."
11906,28055,"Suspiria","Blood and Black Lace","Bava invented the palette Argento inherited."
11906,20126,"Suspiria","Deep Red","Argento's other masterpiece, and the one that is actually a giallo."
36592,872,"Swing Girls","Singin' in the Rain","The most joyful film ever made about people learning to perform."
36592,11830,"Swing Girls","Tampopo","Japanese comedy that takes a silly premise completely seriously."
103,690,"Taxi Driver","Pickpocket","Bresson's lonely man diary. Schrader wrote a book about it, then wrote Taxi Driver."
103,3114,"Taxi Driver","The Searchers","Scorsese has said Travis Bickle is Ethan Edwards. This is the film he was rewriting."
18352,46919,"The Cremator","Daisies","The Czech New Wave's other great provocation."
18352,25904,"The Cremator","Marketa Lazarova","Routinely voted the greatest Czech film ever made."
1422,10775,"The Departed","Infernal Affairs","The Hong Kong original Scorsese remade."
1381,8327,"The Fountain","The Holy Mountain","Jodorowsky's, and the film Aronofsky's mysticism stands on."
238,8422,"The Godfather","Rocco and His Brothers","Visconti's family epic, where Coppola's Italian side comes from."
31217,34528,"The Human Condition I: No Greater Love","The Human Condition II: Road to Eternity","You started a nine-hour film and stopped after three."
31217,34530,"The Human Condition I: No Greater Love","The Human Condition III: A Soldier's Prayer","And the ending."
9479,19354,"The Nightmare Before Christmas","The Adventures of Prince Achmed","Silhouette animation from 1926, the oldest surviving animated feature."
84892,13384,"The Perks of Being a Wallflower","Kes","A boy, a bird, and a school that grinds him down."
423,803,"The Pianist","Night and Fog","Thirty-two minutes, and the reason every Holocaust film after it is careful."
694,16372,"The Shining","The Innocents","The other great haunted house film about whether the house is haunted at all."
473033,2009,"Uncut Gems","4 Months, 3 Weeks and 2 Days","The other great film that is nothing but anxiety in real time."
473033,29845,"Uncut Gems","A Woman Under the Influence","Cassavetes invented that anxiety register. The Safdies moved it to 47th Street."
473033,976,"Uncut Gems","Sweet Smell of Success","New York as a hustle, shot in 1957 and just as fast."
473033,32040,"Uncut Gems","The Killing of a Chinese Bookie","Cassavetes doing a gambling spiral, which is the Uncut Gems engine."
